sentence1	sentence2	paraphrase_types	sentence1_segment_location	sentence2_segment_location	sentence1_tokenized	sentence2_tokenized	id
The NLC advised motorists to stay at home and petrol stations to shut down during the strike.	It has ordered motorists to stay off the streets and petrol stations to shut down during the strike.	[2, 6, 0, 0, 0, 0, 0]	[2, 2, 2, 6, 6, 6, 2, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	[2, 0, 2, 6, 6, 6, 2, 2, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	['The', 'NLC', 'advised', 'motorists', 'to', 'stay', 'at', 'home', 'and', 'petrol', 'stations', 'to', 'shut', 'down', 'during', 'the', 'strike', '.']	['It', 'has', 'ordered', 'motorists', 'to', 'stay', 'off', 'the', 'streets', 'and', 'petrol', 'stations', 'to', 'shut', 'down', 'during', 'the', 'strike', '.\n']	00c4e5d33b0148a7b8fa11665a67e31e
Some of the computers also are used to send spam e-mail messages to drum up traffic to the sites.	Some are also used to send spam e-mail messages to boost traffic to the sites.	[2, 6, 7, 0, 0, 0, 0]	[2, 2, 2, 2, 7, 6, 6, 6, 6, 6, 6, 6, 6, 2, 2, 6, 6, 6, 6, 6]	[2, 6, 7, 6, 6, 6, 6, 6, 6, 6, 2, 6, 6, 6, 6, 6]	['Some', 'of', 'the', 'computers', 'also', 'are', 'used', 'to', 'send', 'spam', 'e-mail', 'messages', 'to', 'drum', 'up', 'traffic', 'to', 'the', 'sites', '.']	['Some', 'are', 'also', 'used', 'to', 'send', 'spam', 'e-mail', 'messages', 'to', 'boost', 'traffic', 'to', 'the', 'sites', '.\n']	ff23dd2497ce4d76a03ad02feb737809
Lewis said that the third-quarter results were driven by deposit and loan growth, strong investment banking and trading results, and improved mortgage and card revenues.	Deposit and loan growth, strong investment banking and trading results and strong growth in mortgage and card revenues drove this quarter's results.	[2, 3, 4, 6, 7, 0, 0]	[7, 7, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 0]	[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 7]	['Lewis', 'said', 'that', 'the', 'third-quarter', 'results', 'were', 'driven', 'by', 'deposit', 'and', 'loan', 'growth', ',', 'strong', 'investment', 'banking', 'and', 'trading', 'results', ',', 'and', 'improved', 'mortgage', 'and', 'card', 'revenues', '.']	"['Deposit', 'and', 'loan', 'growth', ',', 'strong', 'investment', 'banking', 'and', 'trading', 'results', 'and', 'strong', 'growth', 'in', 'mortgage', 'and', 'card', 'revenues', 'drove', 'this', 'quarter', ""'s"", 'results', '.\n']"	f2f5c52d46454d69b4376135c15c35c5
Volodymyr Gorbanovsky, deputy general director of the plane's owners, Mediterranean Airlines, said it appeared to have veered from its flight path because of the fog.	Volodymyr Gorbanovsky, deputy general director of the plane's owners, Mediterranean Airlines, said initial information indicated it had veered from its flight path because of fog.	[6, 7, 0, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 0, 0, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 0, 0, 0, 7, 7, 7, 7, 7, 7, 7, 7]	"['Volodymyr', 'Gorbanovsky', ',', 'deputy', 'general', 'director', 'of', 'the', 'plane', ""'s"", 'owners', ',', 'Mediterranean', 'Airlines', ',', 'said', 'it', 'appeared', 'to', 'have', 'veered', 'from', 'its', 'flight', 'path', 'because', 'of', 'the', 'fog', '.']"	"['Volodymyr', 'Gorbanovsky', ',', 'deputy', 'general', 'director', 'of', 'the', 'plane', ""'s"", 'owners', ',', 'Mediterranean', 'Airlines', ',', 'said', 'initial', 'information', 'indicated', 'it', 'had', 'veered', 'from', 'its', 'flight', 'path', 'because', 'of', 'fog', '.\n']"	5aba85fcb0f2444887baa0adc78064fa
A jury convicted rapper C-Murder, also known as Corey Miller, of second-degree murder Tuesday night in the shooting death of a 16-year-old in a Jefferson Parish nightclub.	Rapper C-Murder has been convicted of second-degree murder, a crime that carries an automatic life sentence, in the shooting death of a 16-year-old inside a Jefferson Parish nightclub.	[2, 4, 6, 7, 0, 0, 0]	[4, 4, 4, 4, 4, 7, 7, 7, 7, 7, 7, 7, 4, 4, 4, 7, 7, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]	[7, 7, 4, 4, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7]	['A', 'jury', 'convicted', 'rapper', 'C-Murder', ',', 'also', 'known', 'as', 'Corey', 'Miller', ',', 'of', 'second-degree', 'murder', 'Tuesday', 'night', 'in', 'the', 'shooting', 'death', 'of', 'a', '16-year-old', 'in', 'a', 'Jefferson', 'Parish', 'nightclub', '.']	['Rapper', 'C-Murder', 'has', 'been', 'convicted', 'of', 'second-degree', 'murder', ',', 'a', 'crime', 'that', 'carries', 'an', 'automatic', 'life', 'sentence', ',', 'in', 'the', 'shooting', 'death', 'of', 'a', '16-year-old', 'inside', 'a', 'Jefferson', 'Parish', 'nightclub', '.\n']	9790a69f44654becb432acf42985d33e
In the latest violence, insurgents threw a bomb at a U.S. convoy in northern Baghdad, killing one soldier.	Early Monday, insurgents threw a homemade bomb at a U.S. convoy in northern Baghdad, killing an American soldier.	[2, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7]	[0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 0, 0]	['In', 'the', 'latest', 'violence', ',', 'insurgents', 'threw', 'a', 'bomb', 'at', 'a', 'U.S.', 'convoy', 'in', 'northern', 'Baghdad', ',', 'killing', 'one', 'soldier', '.']	['Early', 'Monday', ',', 'insurgents', 'threw', 'a', 'homemade', 'bomb', 'at', 'a', 'U.S.', 'convoy', 'in', 'northern', 'Baghdad', ',', 'killing', 'an', 'American', 'soldier', '.\n']	2b48228ba0db4a99ba5da124bb0dc143
PDC will also almost certainly fan the flames of speculation about Longhorn's release.	PDC will also almost certainly reignite speculation about release dates of Microsoft's new products.	[2, 3, 6, 0, 0, 0, 0]	[6, 6, 6, 6, 6, 2, 2, 2, 2, 6, 6, 3, 3, 3, 6]	[6, 6, 6, 6, 6, 2, 6, 6, 3, 3, 3, 3, 3, 3, 3, 6]	"['PDC', 'will', 'also', 'almost', 'certainly', 'fan', 'the', 'flames', 'of', 'speculation', 'about', 'Longhorn', ""'s"", 'release', '.']"	"['PDC', 'will', 'also', 'almost', 'certainly', 'reignite', 'speculation', 'about', 'release', 'dates', 'of', 'Microsoft', ""'s"", 'new', 'products', '.\n']"	f27cdcbf14044ba1ae8ef78159e84505
The shares fell 72 cents, or 3.8 percent, to $18.34 Monday on the New York Stock Exchange.	Schering-Plough shares fell 3.8 percent, or 72 cents, to close at $18.34 in trading Monday on the New York Stock Exchange.	[3, 6, 7, 0, 0, 0, 0]	[3, 3, 0, 7, 7, 0, 0, 0, 0, 0, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[7, 3, 0, 0, 0, 0, 0, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['The', 'shares', 'fell', '72', 'cents', ',', 'or', '3.8', 'percent', ',', 'to', '$', '18.34', 'Monday', 'on', 'the', 'New', 'York', 'Stock', 'Exchange', '.']	['Schering-Plough', 'shares', 'fell', '3.8', 'percent', ',', 'or', '72', 'cents', ',', 'to', 'close', 'at', '$', '18.34', 'in', 'trading', 'Monday', 'on', 'the', 'New', 'York', 'Stock', 'Exchange', '.\n']	36a80446769a40d4bcf22d9156452cf3
The new Finder puts a user's folders, hard drive, network servers, iDisk and removable media in one location, providing one-click access.	Panther's redesigned Finder navigation tool puts a user's favourite folders, hard drive, network servers, iDisk and removable media in one location.	[2, 6, 7, 0, 0, 0, 0]	[0, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[7, 7, 2, 2, 2, 2, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	"['The', 'new', 'Finder', 'puts', 'a', 'user', ""'s"", 'folders', ',', 'hard', 'drive', ',', 'network', 'servers', ',', 'iDisk', 'and', 'removable', 'media', 'in', 'one', 'location', ',', 'providing', 'one-click', 'access', '.']"	"['Panther', ""'s"", 'redesigned', 'Finder', 'navigation', 'tool', 'puts', 'a', 'user', ""'s"", 'favourite', 'folders', ',', 'hard', 'drive', ',', 'network', 'servers', ',', 'iDisk', 'and', 'removable', 'media', 'in', 'one', 'location', '.\n']"	048254f033694820a7d8c820d06df0d4
Hannum was five and a half months pregnant when her mother died.	In her testimony, Kate Hannum said she was 5 1/2 months pregnant when her mother was killed.	[2, 6, 7, 0, 0, 0, 0]	[2, 7, 2, 2, 2, 2, 7, 7, 7, 7, 7, 2, 7]	[7, 7, 7, 7, 2, 2, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 2, 2, 0]	['Hannum', 'was', 'five', 'and', 'a', 'half', 'months', 'pregnant', 'when', 'her', 'mother', 'died', '.']	['In', 'her', 'testimony', ',', 'Kate', 'Hannum', 'said', 'she', 'was', '5', '1/2', 'months', 'pregnant', 'when', 'her', 'mother', 'was', 'killed', '.\n']	917b735987ff42c7bfc4e311c988a417
Shares of Hartford rose $2.88 to $46.50 in New York Stock Exchange composite trading.	Shares of Hartford were up $2.28, or 5.2 percent, to $45.90 in midday trading.	[2, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 2, 2, 2, 0, 2, 2, 0, 7, 7, 7, 7, 7, 7, 0]	[7, 7, 7, 2, 2, 2, 2, 7, 7, 7, 7, 7, 0, 2, 2, 0, 7, 7, 0]	['Shares', 'of', 'Hartford', 'rose', '$', '2.88', 'to', '$', '46.50', 'in', 'New', 'York', 'Stock', 'Exchange', 'composite', 'trading', '.']	['Shares', 'of', 'Hartford', 'were', 'up', '$', '2.28', ',', 'or', '5.2', 'percent', ',', 'to', '$', '45.90', 'in', 'midday', 'trading', '.\n']	5ae31d5ce0654fa5a563bd91437c7c54
"It said the operation, which began on Monday, was part of ""the continued effort to eradicate Baath Party loyalists, paramilitary groups and other subversive elements."""	"A statement from the allied command said that the raid was part of ""the continued effort to eradicate Baath Party loyalists, paramilitary groups and other subversive elements."""	[2, 5, 6, 7, 0, 0, 0]	[5, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[5, 5, 7, 7, 7, 7, 7, 5, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	"['It', 'said', 'the', 'operation', ',', 'which', 'began', 'on', 'Monday', ',', 'was', 'part', 'of', '``', 'the', 'continued', 'effort', 'to', 'eradicate', 'Baath', 'Party', 'loyalists', ',', 'paramilitary', 'groups', 'and', 'other', 'subversive', 'elements', '.', ""''""]"	"['A', 'statement', 'from', 'the', 'allied', 'command', 'said', 'that', 'the', 'raid', 'was', 'part', 'of', '``', 'the', 'continued', 'effort', 'to', 'eradicate', 'Baath', 'Party', 'loyalists', ',', 'paramilitary', 'groups', 'and', 'other', 'subversive', 'elements', '.', ""''\n""]"	77fdada25db34db892e31d05cbb7bb45
Massachusetts is one of 12 states that does not have the death penalty, having abolished capital punishment in 1984.	Massachusetts is one of 12 states without the death penalty, having abolished it in 1984.	[2, 4, 6, 0, 0, 0, 0]	[6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 6, 2, 2, 6, 6, 6]	[6, 6, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 6, 2, 6, 6, 6]	['Massachusetts', 'is', 'one', 'of', '12', 'states', 'that', 'does', 'not', 'have', 'the', 'death', 'penalty', ',', 'having', 'abolished', 'capital', 'punishment', 'in', '1984', '.']	['Massachusetts', 'is', 'one', 'of', '12', 'states', 'without', 'the', 'death', 'penalty', ',', 'having', 'abolished', 'it', 'in', '1984', '.\n']	2fb77e845d1a4be1a69327fbb2d8b848
If Fortigel, a testosterone gel, had been approved, Cellegy would have reached profitability by the second half of 2004, Mr. Juelis said.	If Fortigel had been approved, Cellegy would have reached profitability by the second half of 2004, said Richard Juelis, chief financial officer.	[2, 3, 6, 7, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	['If', 'Fortigel', ',', 'a', 'testosterone', 'gel', ',', 'had', 'been', 'approved', ',', 'Cellegy', 'would', 'have', 'reached', 'profitability', 'by', 'the', 'second', 'half', 'of', '2004', ',', 'Mr.', 'Juelis', 'said', '.']	['If', 'Fortigel', 'had', 'been', 'approved', ',', 'Cellegy', 'would', 'have', 'reached', 'profitability', 'by', 'the', 'second', 'half', 'of', '2004', ',', 'said', 'Richard', 'Juelis', ',', 'chief', 'financial', 'officer', '.\n']	9665fd865a2940d880fea0ecc169fef0
Today, analysts say, UN members can no longer ignore the shifts since the September 11 2001 attacks.	On Wednesday, analysts say, UN members can no longer ignore the shifts since the attacks in the US of September 11 2001.	[3, 6, 7, 0, 0, 0, 0]	[6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 3, 3, 3, 3, 7]	[0, 0, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 3, 7, 7, 7, 3, 3, 3, 3, 6]	['Today', ',', 'analysts', 'say', ',', 'UN', 'members', 'can', 'no', 'longer', 'ignore', 'the', 'shifts', 'since', 'the', 'September', '11', '2001', 'attacks', '.']	['On', 'Wednesday', ',', 'analysts', 'say', ',', 'UN', 'members', 'can', 'no', 'longer', 'ignore', 'the', 'shifts', 'since', 'the', 'attacks', 'in', 'the', 'US', 'of', 'September', '11', '2001', '.\n']	8a7cc3d3a8c340c3962fc47321cdb6c0
The two countries agreed last week to hold their first diplomatic discussions in two years.	Last week, India and Pakistan said they would hold their first diplomatic talks in two years.	[2, 6, 7, 0, 0, 0, 0]	[2, 2, 2, 2, 7, 7, 0, 0, 6, 6, 6, 2, 6, 6, 6, 6]	[7, 7, 7, 2, 2, 2, 2, 0, 0, 0, 6, 6, 6, 2, 6, 6, 6, 6]	['The', 'two', 'countries', 'agreed', 'last', 'week', 'to', 'hold', 'their', 'first', 'diplomatic', 'discussions', 'in', 'two', 'years', '.']	['Last', 'week', ',', 'India', 'and', 'Pakistan', 'said', 'they', 'would', 'hold', 'their', 'first', 'diplomatic', 'talks', 'in', 'two', 'years', '.\n']	aa7644a8e5c7449b99149badc954cdab
"Last year Bloomberg boycotted the parade because he wanted to march with two actors from ""The Sopranos."""	"Last year, Bloomberg snubbed the affair after being told he couldn't march with cast members of the ""The Sopranos."""	[2, 3, 5, 6, 0, 0, 0]	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]	"['Last', 'year', 'Bloomberg', 'boycotted', 'the', 'parade', 'because', 'he', 'wanted', 'to', 'march', 'with', 'two', 'actors', 'from', '``', 'The', 'Sopranos', '.', ""''""]"	"['Last', 'year', ',', 'Bloomberg', 'snubbed', 'the', 'affair', 'after', 'being', 'told', 'he', 'could', ""n't"", 'march', 'with', 'cast', 'members', 'of', 'the', '``', 'The', 'Sopranos', '.', ""''\n""]"	0633e8199d0b4d7bbd8f606e7f58fe45
Duke and North Carolina have been resolute in their positions against expansion.	Two schools, Duke and North Carolina, have steadfastly opposed expansion.	[1, 3, 6, 7, 0, 0, 0]	[7, 7, 7, 7, 1, 1, 1, 7, 7, 7, 3, 7, 7]	[7, 7, 0, 7, 7, 7, 7, 0, 1, 3, 1, 7, 7]	['Duke', 'and', 'North', 'Carolina', 'have', 'been', 'resolute', 'in', 'their', 'positions', 'against', 'expansion', '.']	['Two', 'schools', ',', 'Duke', 'and', 'North', 'Carolina', ',', 'have', 'steadfastly', 'opposed', 'expansion', '.\n']	97c7da0380cb4799baa36048ea90e9cc
His spokesman, Tom Parker, said Moore's attorneys would respond to the complaint Monday.	Parker said Moore's lawyers were reviewing the complaint and would respond Monday.	[2, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 2, 2, 0, 7, 7, 7, 2, 7, 7, 0, 0, 0, 7, 7]	[2, 7, 7, 7, 2, 7, 7, 0, 0, 0, 7, 7, 7, 7]	"['His', 'spokesman', ',', 'Tom', 'Parker', ',', 'said', 'Moore', ""'s"", 'attorneys', 'would', 'respond', 'to', 'the', 'complaint', 'Monday', '.']"	"['Parker', 'said', 'Moore', ""'s"", 'lawyers', 'were', 'reviewing', 'the', 'complaint', 'and', 'would', 'respond', 'Monday', '.\n']"	f5e99800d3fd4c0d9be889b8b35579b5
Fewer than a dozen FBI agents were dispatched to secure and analyze evidence.	Fewer than a dozen FBI agents will be sent to Iraq to secure and analyze evidence of the bombing.	[1, 2, 6, 7, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 1, 1, 7, 7, 7, 7, 7, 7]	[0, 0, 0, 0, 0, 0, 1, 1, 1, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['Fewer', 'than', 'a', 'dozen', 'FBI', 'agents', 'were', 'dispatched', 'to', 'secure', 'and', 'analyze', 'evidence', '.']	['Fewer', 'than', 'a', 'dozen', 'FBI', 'agents', 'will', 'be', 'sent', 'to', 'Iraq', 'to', 'secure', 'and', 'analyze', 'evidence', 'of', 'the', 'bombing', '.\n']	137ee57fa7914ee6945765178ebb63f2
